year_month,amount,usage,memo,input_method,registered_at
2024-02,7800,290.0,,manual,2024-03-05T20:00:00+09:00
2024-12,8100,300.0,,manual,2025-01-04T20:00:00+09:00
2025-01,8900,340.0,,manual,2025-02-03T20:00:00+09:00
2025-02,8300,310.0,,manual,2025-03-04T20:00:00+09:00
2025-03,7600,280.0,,manual,2025-04-03T20:00:00+09:00
2025-08,6200,230.0,エアコン多用,manual,2025-09-05T20:00:00+09:00
2025-09,6800,250.0,,manual,2025-10-04T20:00:00+09:00
2025-10,7100,265.0,,manual,2025-11-04T20:00:00+09:00
2025-11,7700,285.0,,manual,2025-12-04T20:00:00+09:00
2025-12,8450,320.5,,manual,2026-01-05T21:10:00+09:00
2026-01,9120,345.0,寒波で使用量増,manual,2026-02-03T20:45:00+09:00
